;název;lokalita;upřesnění lokality;region;rok nálezu;přesné datum;kvalita;vzácnost;stav lokality;velikost vzorku;grupa;další popis;inventarnicislo
1;síra;Santorini;Nea Kameni;Řecko;2024;20240920;;;;;I.  Prvky;mimo značené cesty u fumarolů na sopce Nea Kameni;1
2;arsenopyrit;Nová Ves;halda;Jeseníky;2024;20240816;;;;;II.  Sulfidy;;2
3;chalkopyrit;Bohutín;;Jeseníky;2024;20240816;;;;;II.  Sulfidy;;3
4;chalkopyrit;Štěpánov nad Svratkou;štola Mír;Jižní Morava;2024;20240726;;;;;II.  Sulfidy;dřívější návštěva se slabšími nálezy 20240420;4
5;galenit;Horní Slavkov;Hubský peň;Krušné hory;2024;20240722;;;;;II.  Sulfidy;;5
6;molybdenit;Krupka;halda sv. Václav;Krušné hory;2025;20250711;;;;;II.  Sulfidy;;6
7;pyrit;Horní Slavkov;Hubský peň;Krušné hory;2024;20240722;;;;;II.  Sulfidy;;7
8;bornit;Horní Rokytnice;;Podkrkonoší;2024;20240721;;;;;II.  Sulfidy;;8
9;pyrit;Brník;;Střední Čechy;2024;20241116;;;;;II.  Sulfidy;dřívější seznamovací návštěva 20240831, v té pozdější jsem pak zahučel I s botama do jílovitého bahna;9
10;fluorit;Nedvědice;rulový lůmek;Jižní Morava;2024;20240708;;;;;III.  Halogenidy;;10
11;fluorit;Černý Potok;Kryštofovy Hamry;Krušné hory;2024;20240722;;;;;III.  Halogenidy;;11
12;fluorit;Horní Slavkov;Hubský peň;Krušné hory;2024;20240722;;;;;III.  Halogenidy;;12
13;fluorit;Krupka;halda sv. Václav;Krušné hory;2025;20250711;;;;;III.  Halogenidy;;13
14;fluorit;Krupka;Prokopský peň;Krušné hory;2025;20250711;; ;;;III.  Halogenidy;;14
15;fluorit;Alland;;Rakousko;2024;20240704;;;;;III.  Halogenidy;;15
16;fluorit;Kožlí;u Ledče nad Sázavou;Vysočina;;;;;;;III.  Halogenidy;;16
17;křišťál;Žulová;Korálové jámy;Jeseníky;2024;20240506;;;;;IV.  Oxidy a hydroxidy;;17
18;kašolong;Rudice;Seč;Jižní Morava;2024;20240622;;;;;IV.  Oxidy a hydroxidy;opakované návštěvy po bouřích a průtržích: 20240808, 20240908;18
19;křemen;Tišnov;Květnice;Jižní Morava;2024;20240210;;;;;IV.  Oxidy a hydroxidy;;19
20;křemen;Rozdrojovice;křemenný val;Jižní Morava;2024;20240309;;;;;IV.  Oxidy a hydroxidy;;20
21;křemen;Rudice;Seč;Jižní Morava;2024;20240623;;;;;IV.  Oxidy a hydroxidy;opakované návštěvy po bouřích a průtržích: 20240808, 20240908;21
22;ametyst;Horní Halže;;Krušné hory;2024;20240722;;;;;IV.  Oxidy a hydroxidy;;22
23;křemen;Krupka;žíla Lukáš;Krušné hory;2025;20250711;;;;;IV.  Oxidy a hydroxidy;;23
24;pyroluzit;Horní Blatná;;Krušné hory;2024;20240722;;;;;IV.  Oxidy a hydroxidy;;24
25;achát;Doubravice;;Podkrkonoší;2024;20240721;;;;;IV.  Oxidy a hydroxidy;;25
26;ametyst;Studenec;;Podkrkonoší;2024;20240721;;;;;IV.  Oxidy a hydroxidy;;26
27;jaspis;Doubravice;;Podkrkonoší;2024;20240721;;;;;IV.  Oxidy a hydroxidy;;27
28;křemen;Studenec;;Podkrkonoší;2024;20240721;;;;;IV.  Oxidy a hydroxidy;;28
29;psilomelan;Horní Rokytnice;;Podkrkonoší;2024;20240721;;;;;IV.  Oxidy a hydroxidy;;29
30;hematit;Payerbach;Grillenberg;Rakousko;2024;20240704;;;;;IV.  Oxidy a hydroxidy;;30
31;korund;Amstall;bývalý grafitový důl;Rakousko;2024;20241221;;;;;IV.  Oxidy a hydroxidy;;31
32;kříšťál;Habachtal;moréna za chatou Alpenrose;Rakousko;2025;20250715;;;;;IV.  Oxidy a hydroxidy;;32
33;rutil;Habachtal;moréna za chatou Alpenrose;Rakousko;2025;20250715;;;;;IV.  Oxidy a hydroxidy;;33
34;siderit;Payerbach;Grillenberg;Rakousko;2024;20240704;;;;;IV.  Oxidy a hydroxidy;;34
35;goethit;Gavá;Mina Elvira;Španělsko;2025;20250719;;;;;IV.  Oxidy a hydroxidy;;35
36;ametyst;Hostákov;;Vysočina;2024;20240730;;;;;IV.  Oxidy a hydroxidy;;36
37;ametyst;Kojatín;;Vysočina;2024;20240810;;;;;IV.  Oxidy a hydroxidy;jiné návštěvy: 20240225;37
38;ametyst;Bochovice;;Vysočina;;;;;;;IV.  Oxidy a hydroxidy;;38
39;chalcedon;Smrček;;Vysočina;;;;;;;IV.  Oxidy a hydroxidy;;39
40;ilmenorutil;Věžná;;Vysočina;;;;;;;IV.  Oxidy a hydroxidy;tzv. Nb-rutil;40
41;křišťál;Česká Mez;;Vysočina;2024;20240919;;;;;IV.  Oxidy a hydroxidy;;41
42;kříšťál;Rožná;Hradisko;Vysočina;;;;;;;IV.  Oxidy a hydroxidy;;42
43;opál;Smrček;;Vysočina;;;;;;;IV.  Oxidy a hydroxidy;;43
44;růženín;Dolní Bory;Hatě;Vysočina;;;;;;;IV.  Oxidy a hydroxidy;;44
45;záhněda;Golčův Jeníkov;;Vysočina;2024;20241116;;;;;IV.  Oxidy a hydroxidy;;45
46;záhněda;Chřenovice;;Vysočina;2024;20241116;;;;;IV.  Oxidy a hydroxidy;;46
47;jantar;Gablitz;Höbersbach;Rakousko;2024;20240507;;;;;IX.  Organolity;další návštěva 20240704;47
48;malachit;Bohutín;;Jeseníky;2024;20240816;;;;;V.  Karbonáty;;48
49;azurit;Štěpánov nad Svratkou;štola Mír;Jižní Morava;2024;20240726;;;;;V.  Karbonáty;dřívější návštěva se slabšími nálezy 20240420;49
50;kalcit;Brno-Hády;Růženin lom;Jižní Morava;2024;20240427;;;;;V.  Karbonáty;;50
51;kalcit;Brno-Líšeň;Lesní lom;Jižní Morava;2024;20240715;;;;;V.  Karbonáty;;51
52;kalcit;Brno-Hády;lom Hády;Jižní Morava;;;;;;;V.  Karbonáty;;52
53;malachit;Štěpánov nad Svratkou;štola Mír;Jižní Morava;2024;20240726;;;;;V.  Karbonáty;dřívější návštěva se slabšími nálezy 20240420;53
54;mramor;Nedvědice;lůmek na mramor;Jižní Morava;2024;20240224;;;;;V.  Karbonáty;;54
55;artinit? magnezit opál;Hrubšice;Kolečkárna;Jižní Morava;2024;20241201;;;;;V.  Karbonáty;;55
56;azurit;Krupka;halda Zwickenpinge;Krušné hory;2025;20250711;;;;;V.  Karbonáty;;56
57;malachit;Krupka;halda Zwickenpinge;Krušné hory;2025;20250711;;;;;V.  Karbonáty;;57
58;kalcit;Vaduz;Schlossweg;Lichtenštejnsko;2025;20250714;;;;;V.  Karbonáty;;58
59;aragonit;Helenental;Kaiserwald;Rakousko;2024;20240507;;;;;V.  Karbonáty;;59
60;kalcit;Helenental;Kaiserwald;Rakousko;2024;20240507;;;;;V.  Karbonáty;;60
61;magnezit;Věžná;;Vysočina;;;;;;;V.  Karbonáty;;61
62;baryt;Štěpánovice;Dranč;Jižní Morava;2024;20240210;;;nutno sekat v lomu nad sebe, spíše masivní agregáty;;VI.  Sulfáty;;62
63;sádrovec;Velké Němčice;odpočívka Zeleňák;Jižní Morava;2025;20250125;;;;;VI.  Sulfáty;;63
64;baryt;Černý Potok;Kryštofovy Hamry;Krušné hory;2024;20240722;;;;;VI.  Sulfáty;;64
65;wolframit;Horní Slavkov;Hubský peň;Krušné hory;2024;20240722;;;;;VI.  Sulfáty;;65
66;sádrovec;Praha-Štěrboholy;;Střední Čechy;2024;20240721;;;;;VI.  Sulfáty;;66
67;pyromorfit;Nová Ves;gossan;Jeseníky;2024;20240816;;;;;VII.  Fosfáty;;67
68;wavellit;Mílina;;Střední Čechy;2025;20250713;;;;;VII.  Fosfáty;;68
69;wavellit;Třenice;;Střední Čechy;2025;20250713;;;;;VII.  Fosfáty;;69
70;apatit;Gavá;Mina Elvira;Španělsko;2025;20250719;;;;;VII.  Fosfáty;pozn. nejspíš nejde o apatit (analýza Raman VP);70
71;tinticit;Gavá;Mina Elvira;Španělsko;2025;20250719;;;;;VII.  Fosfáty;pozn. identita nepotvrzena (analýza Raman VP), může jít o sedimentární horninu jílovitého typu;71
72;pyromorfit;Komárovice;u Jihlavy;Vysočina;2024;20240308;;;;;VII.  Fosfáty;;72
73;pyromorfit;Kvasetice;u Havlíčkova Brodu;Vysočina;2024;20240414;;;;;VII.  Fosfáty;;73
74;chabazit;Heřmanice;;České středohoří;2025;20250710;;;;;VIII.  Silikáty;;74
75;chabazit;Řepčice;;České středohoří;2025;20250710;;;;;VIII.  Silikáty;;75
76;thomsonit;Dobranka;u Dobrné;České středohoří;2025;20250710;;;;;VIII.  Silikáty;;76
77;thomsonit;Pustý vrch;Folknáře;České středohoří;2025;20250710;;;;;VIII.  Silikáty;;77
78;jadeit;Oyashirazu;;Japonsko;2025;20250925;;;;;VIII.  Silikáty;;78
79;nefrit;Oyashirazu;;Japonsko;2025;20250925;;;;;VIII.  Silikáty;;79
80;serpentin;Oyashirazu;;Japonsko;2025;20250925;;;;;VIII.  Silikáty;;80
81;akvamarín;Maršíkov;Střelecký důl;Jeseníky;2024;20240720;;;;;VIII.  Silikáty;dřívější návštěva 20250506;81
82;almandin;Zlatý Chlum;;Jeseníky;2024;20240816;;;;;VIII.  Silikáty;;82
83;almandin;Petrov nad Desnou;Annaquelle;Jeseníky;2025;20250831;;;;;VIII.  Silikáty;;83
84;beryl;Maršíkov;Střelecký důl;Jeseníky;2024;20240720;;;;;VIII.  Silikáty;dřívější návštěva 20250506;84
85;epidot;Maršíkov;Lužný;Jeseníky;2025;20250817;;;;;VIII.  Silikáty;;85
86;fuchsit;Petrov nad Desnou;Holubáč;Jeseníky;2025;20250831;;;;;VIII.  Silikáty;;86
87;hessonit;Bludov;;Jeseníky;2024;20240506;;;;;VIII.  Silikáty;;87
88;hessonit;Vápenná;;Jeseníky;2024;20240506;;;;;VIII.  Silikáty;standardní i plovoucí;88
89;hessonit;Žulová;;Jeseníky;2024;20240506;;;;;VIII.  Silikáty;;89
90;klinozoisit;Maršíkov;Lužný;Jeseníky;2025;20250817;;;;;VIII.  Silikáty;;90
91;muskovit;Maršíkov;Střelecký důl;Jeseníky;2024;20240720;;;;;VIII.  Silikáty;;91
92;spessartin;Maršíkov;Střelecký důl;Jeseníky;2024;20240720;;;;;VIII.  Silikáty;na cukrovém albitu;92
93;staurolit;Petrov nad Desnou;Annaquelle;Jeseníky;2025;20250831;;;;;VIII.  Silikáty;;93
94;almandin;Vranov nad Dyjí;Granátová zátoka;Jižní Morava;2024;20240608;;;;;VIII.  Silikáty;;94
95;almandin;Senorady;;Jižní Morava;2024;20241201;;;;;VIII.  Silikáty;;95
96;biotit;Brno-Královo Pole;;Jižní Morava;;;;;;;VIII.  Silikáty;;96
97;biotit;Brno-Vinohrady;;Jižní Morava;;;;;;;VIII.  Silikáty;;97
98;hessonit;Moravské Bránice;;Jižní Morava;2024;20240310;;;;;VIII.  Silikáty;;98
99;kyanit;Ústup;;Jižní Morava;2024;20240725;;;;;VIII.  Silikáty;;99
100;skoryl;Nedvědice;rulový lůmek;Jižní Morava;2024;20240708;;;;;VIII.  Silikáty;;100
101;vesuvian;Moravské Bránice;;Jižní Morava;2024;20241201;;;;;VIII.  Silikáty;;101
102;natrolit;Most;Špičák;Krušné hory;2025;20250711;;;;;VIII.  Silikáty;;102
103;olivín;Smrčí;u Železného Brodu;Podkrkonoší;2024;20240721;;;;;VIII.  Silikáty;;103
104;smaragd;Habachtal;moréna za chatou Alpenrose;Rakousko;2025;20250715;;;;;VIII.  Silikáty;;104
105;pyrop;Bořetice;;Střední Čechy;2024;20241116;;;;;VIII.  Silikáty;;105
106;almandin;Přibyslavice;lom č. 5;Vysočina;2024;20241116;;;;;VIII.  Silikáty;;106
107;elbait;Dobrá Voda;;Vysočina;2024;20240714;;;;;VIII.  Silikáty;;107
108;elbait;Rožná;Hradisko;Vysočina;;;;;;;VIII.  Silikáty;;108
109;lepidolit;Rožná;Hradisko;Vysočina;;;;;;;VIII.  Silikáty;;109
110;oxy-skoryl;Přibyslavice;lom č. 5;Vysočina;2024;20241116;;;;;VIII.  Silikáty;;110
111;seladonit;Věžná;;Vysočina;;;;;;;VIII.  Silikáty;;111
112;skoryl;Bobrůvka;Lindy;Vysočina;2024;20240824;;;;;VIII.  Silikáty;;112
113;skoryl;Přibyslavice;lom č. 5;Vysočina;2024;20241116;;;;;VIII.  Silikáty;;113
114;skoryl;Dobrá Voda;;Vysočina;;;;;;;VIII.  Silikáty;;114
115;kaersutit;Černošín;Vlčí hora;Střední Čechy;2025;20250712;;;;;VIII.  Silikáty;pozn. Region = Západní Čechy;115
116;apatit;Krupka;žíla Lukáš;Krušné hory;2025;20250711;;;;;VII.  Fosfáty;var. fluorapatit (analyzováno - Raman, VP 11/2025);116
117;spinel;Luc Yen;;Vietnam;2025;20250711;;;;;IV.  Oxidy a hydroxidy;červený spinel na mramorové matrici, pozn. nákup ve městě Luc Yen - Yen The, Yen Bai;117
118;spinel;Luc Yen;;Vietnam;2025;20250711;;;;;IV.  Oxidy a hydroxidy;fialový spinel na mramorové matrici, pozn. nákup ve městě Luc Yen - Yen The, Yen Bai;118
119;spinel;Luc Yen;;Vietnam;2025;20250711;;;;;IV.  Oxidy a hydroxidy;drúza modrého spinelu, pozn. nákup ve městě Luc Yen - Yen The, Yen Bai;119
120;spinel;Luc Yen;;Vietnam;2025;20250511;;;;;IV.  Oxidy a hydroxidy;samostatný oktaedrický krystal pozn. nákup ve městě Luc Yen - Yen The, Yen Bai;120
121;spinel;Luc Yen;;Vietnam;2025;20250511;;;;;IV.  Oxidy a hydroxidy;samostatné porušené krystalky modrého spinelu, pozn. nákup ve městě Luc Yen - Yen The, Yen Bai;121
122;pargasit;Luc Yen;;Vietnam;2025;20250511;;;;;VIII.  Silikáty;pozn. nákup ve městě Luc Yen - Yen The, Yen Bai;122
123;korund;Luc Yen;;Vietnam;2024;20241009;;;;;IV.  Oxidy a hydroxidy;pozn. nákup ve městě Luc Yen - Yen The, Yen Bai;123
124;elbait;Luc Yen;;Vietnam;2025;20250511;;;;;VIII.  Silikáty;var. Mouřenínská hlavička, pozn. nákup ve městě Luc Yen - Yen The, Yen Bai;124
125;akvamarín;Luc Yen;;Vietnam;2025;20250511;;;;;VIII.  Silikáty;pozn. nákup ve městě Luc Yen - Yen The, Yen Bai;125
